ts_code,trade_date,fwd_open,fwd_high,fwd_low,fwd_close,fwd_pre_close,bwd_open,bwd_high,bwd_low,bwd_close,bwd_pre_close,vol,amount,pct_chg,change
601988.SH,20260703,5.58,5.63,5.51,5.56,5.58,14.4187,14.5479,14.2378,14.367,14.4187,2431256.33,1352124.886,-0.3584,-0.02
601988.SH,20260702,5.66,5.75,5.53,5.58,5.65,14.6254,14.858,14.2895,14.4187,14.5996,2935500.41,1649631.585,-1.2389,-0.07
601988.SH,20260701,5.67,5.72,5.64,5.65,5.72,14.6513,14.7805,14.5738,14.5996,14.7805,2007286.42,1137957.517,-1.2238,-0.07
601988.SH,20260630,5.76,5.78,5.57,5.72,5.8,14.8838,14.9355,14.3929,14.7805,14.9872,4005578.9,2263814.421,-1.3793,-0.08
601988.SH,20260629,5.75,5.82,5.62,5.8,5.76,14.858,15.0389,14.5221,14.9872,14.8838,3291220.4,1891600.857,0.6944,0.04
601988.SH,20260626,5.79,5.89,5.75,5.76,5.79,14.9614,15.2198,14.858,14.8838,14.9614,3247484.86,1886108.961,-0.5181,-0.03
601988.SH,20260625,5.9,6.03,5.78,5.79,6.02,15.2456,15.5815,14.9355,14.9614,15.5557,3780288.35,2222922.055,-3.8206,-0.23
601988.SH,20260624,6.15,6.2,6.0,6.02,6.14,15.8916,16.0208,15.504,15.5557,15.8658,3286798.81,1999414.297,-1.9544,-0.12
601988.SH,20260623,5.94,6.18,5.92,6.14,5.94,15.349,15.9691,15.2973,15.8658,15.349,3870641.6,2361841.406,3.367,0.2
601988.SH,20260622,5.78,5.98,5.74,5.94,5.78,14.9355,15.4523,14.8322,15.349,14.9355,3856864.34,2275105.402,2.7682,0.16
601988.SH,20260618,5.92,5.94,5.77,5.78,5.94,15.2973,15.349,14.9097,14.9355,15.349,3651968.56,2125912.675,-2.6936,-0.16
601988.SH,20260617,6.04,6.08,5.92,5.94,6.04,15.6074,15.7107,15.2973,15.349,15.6074,2320137.19,1387016.243,-1.6556,-0.1
601988.SH,20260616,6.1,6.13,6.01,6.04,6.13,15.7624,15.8399,15.5298,15.6074,15.8399,2246395.12,1358536.175,-1.4682,-0.09
601988.SH,20260615,6.26,6.27,6.08,6.13,6.29,16.1758,16.2017,15.7107,15.8399,16.2534,4043855.41,2490148.326,-2.5437,-0.16
601988.SH,20260612,6.14,6.29,6.1,6.29,6.2,15.8658,16.2534,15.7624,16.2534,16.0208,3350003.58,2079619.276,1.4516,0.09
601988.SH,20260611,6.22,6.23,6.11,6.2,6.22,16.0725,16.0983,15.7882,16.0208,16.0725,2422277.64,1496846.965,-0.3215,-0.02
601988.SH,20260610,6.14,6.27,6.11,6.22,6.13,15.8658,16.2017,15.7882,16.0725,15.8399,3080229.89,1913724.183,1.4682,0.09
601988.SH,20260609,6.1,6.19,6.07,6.13,6.14,15.7624,15.995,15.6849,15.8399,15.8658,2561635.28,1571855.743,-0.1629,-0.01
601988.SH,20260608,6.05,6.17,6.02,6.14,6.05,15.6332,15.9433,15.5557,15.8658,15.6332,3623035.13,2212689.496,1.4876,0.09
601988.SH,20260605,5.91,6.05,5.9,6.05,5.9,15.2714,15.6332,15.2456,15.6332,15.2456,3643592.24,2187970.116,2.5424,0.15
601988.SH,20260604,5.95,5.99,5.88,5.9,5.95,15.3748,15.4782,15.1939,15.2456,15.3748,1912124.86,1134051.295,-0.8403,-0.05
601988.SH,20260603,5.96,5.98,5.86,5.95,5.97,15.4006,15.4523,15.1422,15.3748,15.4265,2636892.41,1560883.827,-0.335,-0.02
601988.SH,20260602,5.93,6.05,5.92,5.97,5.93,15.3231,15.6332,15.2973,15.4265,15.3231,3296888.73,1976798.793,0.6745,0.04
601988.SH,20260601,5.85,5.94,5.81,5.93,5.86,15.1164,15.349,15.013,15.3231,15.1422,2793312.75,1641084.318,1.1945,0.07
601988.SH,20260529,5.8,5.91,5.76,5.86,5.81,14.9872,15.2714,14.8838,15.1422,15.013,3406783.0,1992840.665,0.8606,0.05
601988.SH,20260528,5.84,5.93,5.79,5.81,5.85,15.0906,15.3231,14.9614,15.013,15.1164,2673152.97,1564819.487,-0.6838,-0.04
