trade_date,date,open,high,low,close,volume,pct_chg,change,RSI_6,RSI_14,RSI_24,DIF,DEA,MACD_hist,BOLL_MID,BOLL_UPPER,BOLL_LOWER,BOLL_WIDTH,BOLL_PCTB,TR,ATR_14,ATR_PCT,K,D,J,MACD_golden_cross,MACD_death_cross,KDJ_golden_cross,KDJ_death_cross,BOLL_break_up,BOLL_break_down,RSI_oversold,RSI_overbought
20210705,2021-07-05,2.4071,2.4149,2.4071,2.4149,869427.77,0.0,0.0,,,,0.0,0.0,0.0,,,,,,0.007800000000000029,,,50.0,50.0,50.0,0,0,0,0,0,0,0,0
20210706,2021-07-06,2.4149,2.4227,2.4071,2.4227,1161960.21,0.3247,0.01,,,,0.0006222222222218576,0.00012444444444437153,0.0009955555555549722,,,,,,0.015600000000000058,,,49.99999999999999,49.99999999999999,49.999999999999986,1,0,0,0,0,0,0,0
20210707,2021-07-07,2.4227,2.4227,2.4071,2.4149,863283.5,-0.3236,-0.01,,,,0.0004804051915159313,0.00019563659385868348,0.0005695371953144956,,,,,,0.015600000000000058,,,49.99999999999999,49.99999999999999,49.999999999999986,0,0,0,0,0,0,0,0
20210708,2021-07-08,2.4149,2.4149,2.3992,2.4071,1373624.29,-0.3247,-0.01,,,,-0.0002584019429865414,0.00010482888648963853,-0.0007264616589523599,,,,,,0.015699999999999825,,,49.99999999999999,49.99999999999999,49.999999999999986,0,1,0,0,0,0,0,0
20210709,2021-07-09,2.3992,2.4149,2.3992,2.4071,997913.32,0.0,0.0,,,,-0.0008342946900410375,-8.299582881649669e-05,-0.0015025977224490817,,,,,,0.015699999999999825,,,49.99999999999999,49.99999999999999,49.999999999999986,0,0,0,0,0,0,0,0
20210712,2021-07-12,2.4149,2.4149,2.3992,2.3992,1219711.54,-0.3257,-0.01,,,,-0.0019061845096417507,-0.0004476335649815475,-0.0029171018893204064,,,,,,0.015699999999999825,,,49.99999999999999,49.99999999999999,49.999999999999986,0,0,0,0,0,0,0,0
20210713,2021-07-13,2.3992,2.4071,2.3914,2.3914,1314055.17,-0.3268,-0.01,45.356600571632946,,,-0.0033464835476806343,-0.0010274035615213649,-0.004638159972318539,,,,,,0.015699999999999825,,,49.99999999999999,49.99999999999999,49.999999999999986,0,0,0,0,0,0,0,0
20210714,2021-07-14,2.3992,2.3992,2.3757,2.3757,1557135.27,-0.6557,-0.02,31.187050138797034,,,-0.005689208052722883,-0.0019597644597616685,-0.0074588871859224285,,,,,,0.023499999999999854,,,49.99999999999999,49.99999999999999,49.999999999999986,0,0,0,0,0,0,0,0
20210715,2021-07-15,2.3757,2.3914,2.3678,2.3835,922700.2,0.33,0.01,41.99109624217753,,,-0.00683761946775352,-0.0029353354613600386,-0.007804568012786962,,,,,,0.023600000000000065,,,42.86581663630861,47.62193887876953,33.35357215138677,0,0,0,1,0,0,0,0
20210716,2021-07-16,2.3835,2.3914,2.3757,2.3914,847802.14,0.3289,0.01,51.28669885272399,,,-0.0070292509813216775,-0.0037541185653523668,-0.006550264831938621,,,,,,0.015699999999999825,,,42.906294272414655,46.0500573433179,36.618768130608174,0,0,0,0,0,0,0,0
20210719,2021-07-19,2.3835,2.3914,2.3757,2.3835,965184.08,-0.3279,-0.01,43.01517013437118,,,-0.00772948363746373,-0.00454919157977464,-0.00636058411537818,,,,,,0.015699999999999825,,,38.136679484585045,43.41226472374028,27.585509006274577,0,0,0,0,0,0,0,0
20210720,2021-07-20,2.3835,2.3914,2.3757,2.3835,749299.61,0.0,0.0,43.01517013437118,,,-0.0081900136827322,-0.005277356000366152,-0.005825315364732096,,,,,,0.015699999999999825,,,36.535564100834684,41.12003118277175,27.366629936960564,0,0,0,0,0,0,0,0
