ts_code,trade_date,fwd_open,fwd_high,fwd_low,fwd_close,fwd_pre_close,bwd_open,bwd_high,bwd_low,bwd_close,bwd_pre_close,vol,amount,pct_chg,change
600519.SH,20260703,1205.24,1210.14,1185.0,1194.45,1203.0,10420.8666,10463.2335,10245.8655,10327.573,10401.4989,34267.55,4099266.243,-0.7107,-8.55
600519.SH,20260702,1193.01,1215.52,1190.51,1203.0,1193.01,10315.1224,10509.7506,10293.5066,10401.4989,10315.1224,50870.15,6122360.932,0.8374,9.99
600519.SH,20260701,1180.1,1196.8,1166.33,1193.01,1185.49,10203.4986,10347.8918,10084.4391,10315.1224,10250.1022,42473.81,5033838.236,0.6343,7.52
600519.SH,20260630,1187.0,1195.67,1176.0,1185.49,1194.96,10263.1581,10338.1215,10168.0488,10250.1022,10331.9826,39607.79,4684236.159,-0.7925,-9.47
600519.SH,20260629,1169.0,1215.0,1151.01,1194.96,1168.63,10107.5247,10505.2545,9951.9778,10331.9826,10104.3256,66878.12,7949237.761,2.2531,26.33
600519.SH,20260626,1199.0,1199.0,1168.1,1168.63,1184.08,10366.9137,10366.9137,10099.743,10104.3256,10237.9109,50066.47,5922014.054,-1.3048,-15.45
600519.SH,20260625,1179.0945,1198.6321,1172.2563,1184.0766,1179.7588,10194.8048,10363.7328,10135.68,10237.8814,10200.5484,48446.49,5860481.755,0.366,4.42
600519.SH,20260624,1194.3827,1213.1583,1179.5927,1179.7588,1194.1873,10326.991,10489.3308,10199.1125,10200.5484,10325.3017,45335.28,5516574.46,-1.2082,-14.77
600519.SH,20260623,1210.3547,1234.7767,1188.8633,1194.1873,1212.709,10465.0896,10676.2496,10279.2688,10325.3017,10485.4454,58004.05,7179745.911,-1.5273,-18.96
600519.SH,20260622,1186.2355,1223.8356,1177.1407,1212.709,1186.9095,10256.548,10581.6499,10177.912,10485.4454,10262.376,58251.31,7163236.298,2.1737,26.41
600519.SH,20260618,1206.4472,1210.2277,1183.2169,1186.9095,1211.3316,10431.304,10463.9916,10230.4486,10262.376,10473.536,57471.73,7016713.941,-2.0161,-25.0
600519.SH,20260617,1228.9154,1230.6445,1209.9248,1211.3316,1226.6393,10625.5712,10640.5213,10461.3732,10473.536,10605.8911,44803.3,5581256.291,-1.2479,-15.67
600519.SH,20260616,1237.7171,1238.567,1225.9848,1226.6393,1241.7125,10701.6733,10709.0216,10600.232,10605.8911,10736.219,34969.74,4399957.625,-1.2139,-15.43
600519.SH,20260615,1262.8131,1262.8131,1240.7356,1241.7125,1262.0414,10918.6613,10918.6613,10727.7726,10736.219,10911.9886,41585.56,5303656.129,-1.6108,-20.81
600519.SH,20260612,1241.7907,1265.06,1235.7633,1262.0414,1249.4299,10736.8948,10938.088,10684.7805,10911.9886,10802.9456,50494.78,6477910.214,1.0094,12.91
600519.SH,20260611,1242.7089,1253.2202,1237.6194,1249.4299,1246.382,10744.8344,10835.7176,10700.8286,10802.9456,10776.5928,25351.98,3230008.22,0.2445,3.12
600519.SH,20260610,1223.1323,1252.3605,1221.3055,1246.382,1226.9616,10575.5685,10828.2848,10559.7737,10776.5928,10608.6784,39244.14,4991686.419,1.5828,19.88
600519.SH,20260609,1233.79,1233.7998,1223.5914,1226.9616,1233.7803,10667.7187,10667.8032,10579.5383,10608.6784,10667.6343,27860.12,3500590.715,-0.5527,-6.98
600519.SH,20260608,1242.5917,1248.453,1230.8692,1233.7803,1243.4318,10743.8208,10794.4992,10642.464,10667.6343,10751.0847,30828.36,3898027.116,-0.7762,-9.88
600519.SH,20260605,1248.453,1253.3374,1238.4302,1243.4318,1238.6842,10794.4992,10836.7312,10707.8391,10751.0847,10710.0352,31303.97,3984001.862,0.3833,4.86
600519.SH,20260604,1249.4201,1259.1889,1237.4045,1238.6842,1252.2726,10802.8611,10887.3251,10698.9704,10710.0352,10827.5246,33506.17,4273269.325,-1.0851,-13.91
600519.SH,20260603,1273.8519,1273.8519,1246.4992,1252.2726,1276.9974,11014.1056,11014.1056,10777.6064,10827.5246,11041.303,52476.52,6743202.681,-1.9362,-25.31
600519.SH,20260602,1275.8057,1295.6949,1270.9212,1276.9974,1279.3224,11030.9984,11202.9671,10988.7664,11041.303,11061.4054,36361.85,4769963.104,-0.1817,-2.38
600519.SH,20260601,1296.3201,1296.3201,1271.2241,1279.3224,1295.3433,11208.3728,11208.3728,10991.3848,11061.4054,11199.9264,43844.6,5741133.268,-1.2368,-16.4
600519.SH,20260529,1241.2241,1298.2739,1240.638,1295.3433,1246.4797,10731.9958,11225.2656,10726.928,11199.9264,10777.4375,76478.05,10037388.211,3.9201,50.02
600519.SH,20260528,1260.1756,1273.8519,1241.6148,1246.4797,1272.875,10895.856,11014.1056,10735.3744,10777.4375,11005.6592,45889.98,5895475.019,-2.0737,-27.02
600519.SH,20260527,1238.7037,1288.5051,1221.198,1272.875,1243.9398,10710.2041,11140.8016,10558.8446,11005.6592,10755.4768,82727.91,10586574.902,2.3261,29.62
600519.SH,20260526,1255.6331,1260.0681,1240.6477,1243.9398,1256.1508,10856.5802,10894.9269,10727.0125,10755.4768,10861.0568,45931.62,5867830.633,-0.9721,-12.5
600519.SH,20260525,1257.2449,1274.6236,1247.4761,1256.1508,1260.3709,10870.5168,11020.7783,10786.0528,10861.0568,10897.5453,46352.76,5978725.158,-0.3348,-4.32
600519.SH,20260522,1280.6412,1281.579,1260.2928,1260.3709,1280.6901,11072.8081,11080.9166,10896.8696,10897.5453,11073.2304,49157.14,6372389.482,-1.5866,-20.8
600519.SH,20260521,1282.6243,1292.9206,1280.6901,1280.6901,1284.5976,11089.9543,11178.9793,11073.2304,11073.2304,11107.016,38868.38,5112740.391,-0.3042,-4.0
600519.SH,20260520,1290.4589,1302.1716,1283.6207,1284.5976,1293.6826,11157.6944,11258.9667,11098.5696,11107.016,11185.5675,47487.33,6271273.748,-0.7023,-9.3
600519.SH,20260519,1291.338,1299.241,1287.5282,1293.6826,1292.4126,11165.2962,11233.6275,11132.3552,11185.5675,11174.5872,43254.64,5719170.335,0.0983,1.3
600519.SH,20260518,1305.1121,1311.6376,1289.101,1292.4126,1302.1326,11284.3904,11340.8124,11145.9539,11174.5872,11258.6289,49660.97,6594983.723,-0.7465,-9.95
600519.SH,20260515,1304.2817,1308.3162,1296.4276,1302.1326,1311.1394,11277.211,11312.0946,11209.3019,11258.6289,11336.5047,58183.65,7749366.54,-0.6869,-9.22
