ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601988.SH,20260703,5.58,5.63,5.51,5.56,5.58,-0.02,-0.3584,2431256.33,1352124.886
601988.SH,20260702,5.66,5.75,5.53,5.58,5.65,-0.07,-1.2389,2935500.41,1649631.585
601988.SH,20260701,5.67,5.72,5.64,5.65,5.72,-0.07,-1.2238,2007286.42,1137957.517
601988.SH,20260630,5.76,5.78,5.57,5.72,5.8,-0.08,-1.3793,4005578.9,2263814.421
601988.SH,20260629,5.75,5.82,5.62,5.8,5.76,0.04,0.6944,3291220.4,1891600.857
601988.SH,20260626,5.79,5.89,5.75,5.76,5.79,-0.03,-0.5181,3247484.86,1886108.961
601988.SH,20260625,5.9,6.03,5.78,5.79,6.02,-0.23,-3.8206,3780288.35,2222922.055
601988.SH,20260624,6.15,6.2,6.0,6.02,6.14,-0.12,-1.9544,3286798.81,1999414.297
601988.SH,20260623,5.94,6.18,5.92,6.14,5.94,0.2,3.367,3870641.6,2361841.406
601988.SH,20260622,5.78,5.98,5.74,5.94,5.78,0.16,2.7682,3856864.34,2275105.402
601988.SH,20260618,5.92,5.94,5.77,5.78,5.94,-0.16,-2.6936,3651968.56,2125912.675
601988.SH,20260617,6.04,6.08,5.92,5.94,6.04,-0.1,-1.6556,2320137.19,1387016.243
601988.SH,20260616,6.1,6.13,6.01,6.04,6.13,-0.09,-1.4682,2246395.12,1358536.175
601988.SH,20260615,6.26,6.27,6.08,6.13,6.29,-0.16,-2.5437,4043855.41,2490148.326
601988.SH,20260612,6.14,6.29,6.1,6.29,6.2,0.09,1.4516,3350003.58,2079619.276
601988.SH,20260611,6.22,6.23,6.11,6.2,6.22,-0.02,-0.3215,2422277.64,1496846.965
601988.SH,20260610,6.14,6.27,6.11,6.22,6.13,0.09,1.4682,3080229.89,1913724.183
601988.SH,20260609,6.1,6.19,6.07,6.13,6.14,-0.01,-0.1629,2561635.28,1571855.743
601988.SH,20260608,6.05,6.17,6.02,6.14,6.05,0.09,1.4876,3623035.13,2212689.496
601988.SH,20260605,5.91,6.05,5.9,6.05,5.9,0.15,2.5424,3643592.24,2187970.116
601988.SH,20260604,5.95,5.99,5.88,5.9,5.95,-0.05,-0.8403,1912124.86,1134051.295
601988.SH,20260603,5.96,5.98,5.86,5.95,5.97,-0.02,-0.335,2636892.41,1560883.827
601988.SH,20260602,5.93,6.05,5.92,5.97,5.93,0.04,0.6745,3296888.73,1976798.793
601988.SH,20260601,5.85,5.94,5.81,5.93,5.86,0.07,1.1945,2793312.75,1641084.318
601988.SH,20260529,5.8,5.91,5.76,5.86,5.81,0.05,0.8606,3406783.0,1992840.665
601988.SH,20260528,5.84,5.93,5.79,5.81,5.85,-0.04,-0.6838,2673152.97,1564819.487
601988.SH,20260527,5.9,5.98,5.81,5.85,5.91,-0.06,-1.0152,2569335.66,1514655.987
601988.SH,20260526,5.88,5.98,5.87,5.91,5.9,0.01,0.1695,2925462.29,1737459.864
601988.SH,20260525,5.84,5.94,5.83,5.9,5.86,0.04,0.6826,2466683.51,1455806.546
601988.SH,20260522,5.79,5.88,5.71,5.86,5.8,0.06,1.0345,3106328.3,1807610.864
601988.SH,20260521,5.71,5.84,5.66,5.8,5.7,0.1,1.7544,3260367.58,1883361.764
601988.SH,20260520,5.83,5.84,5.7,5.7,5.83,-0.13,-2.2298,2070373.18,1191220.935
601988.SH,20260519,5.8,5.9,5.79,5.83,5.79,0.04,0.6908,2718887.25,1593352.605
601988.SH,20260518,5.79,5.82,5.76,5.79,5.79,0.0,0.0,1940883.88,1124118.524
601988.SH,20260515,5.76,5.81,5.69,5.79,5.76,0.03,0.5208,2699421.95,1556875.661
601988.SH,20260514,5.71,5.83,5.7,5.76,5.72,0.04,0.6993,2734276.45,1580479.09
601988.SH,20260513,5.75,5.77,5.69,5.72,5.74,-0.02,-0.3484,1733847.11,993628.097
601988.SH,20260512,5.68,5.78,5.67,5.74,5.68,0.06,1.0563,2497039.01,1433926.085
601988.SH,20260511,5.67,5.69,5.61,5.68,5.68,0.0,0.0,2292314.91,1294937.056
601988.SH,20260508,5.7,5.75,5.66,5.68,5.69,-0.01,-0.1757,1646660.03,936717.491
601988.SH,20260507,5.71,5.76,5.68,5.69,5.71,-0.02,-0.3503,1748485.21,999142.783
601988.SH,20260506,5.75,5.75,5.64,5.71,5.75,-0.04,-0.6957,2679508.74,1519897.392
601988.SH,20260430,5.8,5.85,5.73,5.75,5.79,-0.04,-0.6908,2528233.33,1461444.306
601988.SH,20260429,5.81,5.83,5.73,5.79,5.81,-0.02,-0.3442,2180086.16,1259549.786
601988.SH,20260428,5.74,5.82,5.73,5.81,5.76,0.05,0.8681,1647560.96,952210.043
601988.SH,20260427,5.8,5.84,5.75,5.76,5.81,-0.05,-0.8606,1668171.56,964842.08
601988.SH,20260424,5.82,5.84,5.78,5.81,5.82,-0.01,-0.1718,1484477.75,861051.72
601988.SH,20260423,5.83,5.88,5.8,5.82,5.84,-0.02,-0.3425,1588391.86,927613.368
601988.SH,20260422,5.93,5.95,5.83,5.84,5.93,-0.09,-1.5177,1616782.44,948819.566
601988.SH,20260421,5.89,5.97,5.89,5.93,5.9,0.03,0.5085,2053820.68,1218008.177
601988.SH,20260420,5.75,5.92,5.74,5.9,5.77,0.13,2.253,2580279.73,1512553.844
601988.SH,20260417,5.77,5.82,5.75,5.77,5.79,-0.02,-0.3454,1531680.13,884406.388
601988.SH,20260416,5.8,5.87,5.76,5.79,5.79,0.0,0.0,1890438.03,1096909.201
601988.SH,20260415,5.71,5.82,5.7,5.79,5.73,0.06,1.0471,2310032.34,1335510.071
601988.SH,20260414,5.66,5.74,5.65,5.73,5.69,0.04,0.703,1880664.5,1072107.399
601988.SH,20260413,5.65,5.69,5.58,5.69,5.65,0.04,0.708,2002528.06,1128552.342
601988.SH,20260410,5.68,5.68,5.62,5.65,5.69,-0.04,-0.703,1776263.58,1002071.045
601988.SH,20260409,5.74,5.77,5.67,5.69,5.74,-0.05,-0.8711,2235350.39,1275037.216
601988.SH,20260408,5.77,5.78,5.63,5.74,5.8,-0.06,-1.0345,3149179.43,1799283.321
601988.SH,20260407,5.82,5.84,5.75,5.8,5.82,-0.02,-0.3436,2509963.5,1454371.237
