ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601988.SH,20260703,5.56,0.1154,1.9892,0.78,7.3718,7.3037,0.6554,2.7214,2.665,5.8189,1.9676,32221241.1814,21076551.4846,1222241.8928,179150100.9608,117185626.2288
601988.SH,20260702,5.58,0.1393,2.4017,0.9,7.3983,7.3299,0.6578,2.7312,2.6746,5.798,1.9606,32221241.1814,21076551.4846,1222241.8928,179794525.7844,117607157.2584
601988.SH,20260701,5.65,0.0952,1.6423,0.57,7.4911,7.4219,0.666,2.7654,2.7082,5.7262,1.9363,32221241.1814,21076551.4846,1222241.8928,182050012.667,119082515.862
601988.SH,20260630,5.72,0.19,3.2772,1.15,7.5839,7.5138,0.6743,2.7997,2.7417,5.6561,1.9126,32221241.1814,21076551.4846,1222241.8928,184305499.5496,120557874.4656
601988.SH,20260629,5.8,0.1562,2.6928,0.91,7.69,7.6189,0.6837,2.8388,2.7801,5.5781,1.8862,32221241.1814,21076551.4846,1222241.8928,186883198.844,122243998.584
601988.SH,20260626,5.76,0.1541,2.657,0.88,7.637,7.5664,0.679,2.8193,2.7609,5.6169,1.8993,32221241.1814,21076551.4846,1222241.8928,185594349.1968,121400936.5248
601988.SH,20260625,5.79,0.1794,3.0929,1.11,7.6767,7.6058,0.6825,2.8339,2.7753,5.5878,1.8895,32221241.1814,21076551.4846,1222241.8928,186560986.4322,122033233.0692
601988.SH,20260624,6.02,0.1559,2.6892,1.03,7.9817,7.9079,0.7096,2.9465,2.8855,5.3743,1.8173,32221241.1814,21076551.4846,1222241.8928,193971871.9036,126880839.9096
601988.SH,20260623,6.14,0.1836,3.1668,1.2,8.1408,8.0656,0.7238,3.0052,2.943,5.2692,1.7818,32221241.1814,21076551.4846,1222241.8928,197838420.8452,129410026.0872
601988.SH,20260622,5.94,0.183,3.1556,1.24,7.8756,7.8028,0.7002,2.9074,2.8472,5.4467,1.8418,32221241.1814,21076551.4846,1222241.8928,191394172.6092,125194715.7912
601988.SH,20260618,5.78,0.1733,2.9879,1.27,7.6635,7.5927,0.6813,2.829,2.7705,5.5974,1.8927,32221241.1814,21076551.4846,1222241.8928,186238774.0204,121822467.5544
601988.SH,20260617,5.94,0.1101,1.8983,0.77,7.8756,7.8028,0.7002,2.9074,2.8472,5.4467,1.8418,32221241.1814,21076551.4846,1222241.8928,191394172.6092,125194715.7912
601988.SH,20260616,6.04,0.1066,1.8379,0.73,8.0082,7.9342,0.712,2.9563,2.8951,5.3565,1.8113,32221241.1814,21076551.4846,1222241.8928,194616296.7272,127302370.9392
601988.SH,20260615,6.13,0.1919,3.3086,1.34,8.1275,8.0524,0.7226,3.0004,2.9382,5.2778,1.7847,32221241.1814,21076551.4846,1222241.8928,197516208.4334,129199260.5724
601988.SH,20260612,6.29,0.1589,2.7409,1.09,8.3397,8.2626,0.7415,3.0787,3.0149,5.1436,1.7393,32221241.1814,21076551.4846,1222241.8928,202671607.0222,132571508.8092
601988.SH,20260611,6.2,0.1149,1.9818,0.82,8.2203,8.1444,0.7309,3.0346,2.9718,5.2182,1.7645,32221241.1814,21076551.4846,1222241.8928,199771695.3247,130674619.2045
601988.SH,20260610,6.22,0.1461,2.5201,1.07,8.2469,8.1706,0.7332,3.0444,2.9814,5.2015,1.7588,32221241.1814,21076551.4846,1222241.8928,200416120.1483,131096150.2342
601988.SH,20260609,6.13,0.1215,2.0958,0.85,8.1275,8.0524,0.7226,3.0004,2.9382,5.2778,1.7847,32221241.1814,21076551.4846,1222241.8928,197516208.442,129199260.6006
601988.SH,20260608,6.14,0.1719,2.9643,1.27,8.1408,8.0656,0.7238,3.0052,2.943,5.2692,1.7818,32221241.1814,21076551.4846,1222241.8928,197838420.8538,129410026.1154
601988.SH,20260605,6.05,0.1729,2.9811,1.3,8.0215,7.9473,0.7132,2.9612,2.8999,5.3476,1.8083,32221241.1814,21076551.4846,1222241.8928,194938509.1475,127513136.4818
601988.SH,20260604,5.9,0.0907,1.5644,0.65,7.8226,7.7503,0.6955,2.8878,2.828,5.4836,1.8542,32221241.1814,21076551.4846,1222241.8928,190105322.9703,124351653.7591
601988.SH,20260603,5.95,0.1251,2.1574,0.89,7.8889,7.816,0.7014,2.9123,2.852,5.4375,1.8387,32221241.1814,21076551.4846,1222241.8928,191716385.0293,125405481.3334
601988.SH,20260602,5.97,0.1564,2.6974,1.15,7.9154,7.8422,0.7037,2.922,2.8615,5.4193,1.8325,32221241.1814,21076551.4846,1222241.8928,192360809.853,125827012.3631
601988.SH,20260601,5.93,0.1325,2.2854,0.99,7.8624,7.7897,0.699,2.9025,2.8424,5.4558,1.8449,32221241.1814,21076551.4846,1222241.8928,191071960.2057,124983950.3037
601988.SH,20260529,5.86,0.1616,2.7873,1.24,7.7696,7.6977,0.6908,2.8682,2.8088,5.521,1.8669,32221241.1814,21076551.4846,1222241.8928,188816473.323,123508591.6998
601988.SH,20260528,5.81,0.1268,2.1871,0.93,7.7033,7.6321,0.6849,2.8437,2.7849,5.5685,1.883,32221241.1814,21076551.4846,1222241.8928,187205411.2639,122454764.1255
601988.SH,20260527,5.85,0.1219,2.1021,0.93,7.7563,7.6846,0.6896,2.8633,2.804,5.5304,1.8701,32221241.1814,21076551.4846,1222241.8928,188494260.9112,123297826.1849
601988.SH,20260526,5.91,0.1388,2.3935,1.07,7.8358,7.7634,0.6967,2.8927,2.8328,5.4743,1.8511,32221241.1814,21076551.4846,1222241.8928,190427535.3821,124562419.274
601988.SH,20260525,5.9,0.117,2.0182,0.94,7.8226,7.7503,0.6955,2.8878,2.828,5.4836,1.8542,32221241.1814,21076551.4846,1222241.8928,190105322.9703,124351653.7591
601988.SH,20260522,5.86,0.1474,2.5415,1.22,7.7696,7.6977,0.6908,2.8682,2.8088,5.521,1.8669,32221241.1814,21076551.4846,1222241.8928,188816473.323,123508591.6998
601988.SH,20260521,5.8,0.1547,2.6675,1.34,7.69,7.6189,0.6837,2.8388,2.7801,5.5781,1.8862,32221241.1814,21076551.4846,1222241.8928,186883198.8521,122243998.6107
601988.SH,20260520,5.7,0.0982,1.6939,0.88,7.5574,7.4876,0.6719,2.7899,2.7321,5.676,1.9193,32221241.1814,21076551.4846,1222241.8928,183661074.734,120136343.4622
601988.SH,20260519,5.83,0.129,2.2245,1.17,7.7298,7.6583,0.6872,2.8535,2.7944,5.5494,1.8765,32221241.1814,21076551.4846,1222241.8928,187849836.0876,122876295.1552
601988.SH,20260518,5.79,0.0921,1.588,0.81,7.6767,7.6058,0.6825,2.8339,2.7753,5.5878,1.8895,32221241.1814,21076551.4846,1222241.8928,186560986.4403,122033233.0958
601988.SH,20260515,5.79,0.1281,2.2086,1.24,7.6767,7.6058,0.6825,2.8339,2.7753,5.5878,1.8895,32221241.1814,21076551.4846,1222241.8928,186560986.4403,122033233.0958
601988.SH,20260514,5.76,0.1297,2.2371,1.38,7.637,7.5664,0.679,2.8193,2.7609,5.6169,1.8993,32221241.1814,21076551.4846,1222241.8928,185594349.2049,121400936.5513
601988.SH,20260513,5.72,0.0823,1.4186,0.8,7.5839,7.5138,0.6743,2.7997,2.7417,5.6561,1.9126,32221241.1814,21076551.4846,1222241.8928,184305499.5576,120557874.4919
601988.SH,20260512,5.74,0.1185,2.043,1.15,7.6105,7.5401,0.6766,2.8095,2.7513,5.6364,1.9059,32221241.1814,21076551.4846,1222241.8928,184949924.3812,120979405.5216
601988.SH,20260511,5.68,0.1088,1.8755,1.06,7.5309,7.4613,0.6696,2.7801,2.7225,5.696,1.9261,32221241.1814,21076551.4846,1222241.8928,183016649.9104,119714812.4325
601988.SH,20260508,5.68,0.0781,1.3472,0.76,7.5309,7.4613,0.6696,2.7801,2.7225,5.696,1.9261,32221241.1814,21076551.4846,1222241.8928,183016649.9104,119714812.4325
601988.SH,20260507,5.69,0.083,1.4306,0.82,7.5442,7.4744,0.6707,2.785,2.7273,5.686,1.9227,32221241.1814,21076551.4846,1222241.8928,183338862.3222,119925577.9474
601988.SH,20260506,5.71,0.1271,2.1923,1.41,7.5707,7.5007,0.6731,2.7948,2.7369,5.666,1.9159,32221241.1814,21076551.4846,1222241.8928,183983287.1458,120347108.9771
601988.SH,20260430,5.75,0.12,2.0685,1.48,7.6237,7.5532,0.6778,2.8144,2.7561,5.6266,1.9026,32221241.1814,21076551.4846,1222241.8928,185272136.7931,121190171.0365
601988.SH,20260429,5.79,0.1034,1.7837,1.36,7.6767,7.6767,0.6925,2.8339,2.8339,5.5878,1.8895,32221241.1814,21076551.4846,1222241.8928,186560986.4403,122033233.0958
601988.SH,20260428,5.81,0.0782,1.348,0.98,7.7033,7.7033,0.6949,2.8437,2.8437,5.5685,1.883,32221241.1814,21076551.4846,1222241.8928,187205411.2639,122454764.1255
601988.SH,20260427,5.76,0.0791,1.3648,0.89,7.637,7.637,0.6889,2.8193,2.8193,5.6169,1.8993,32221241.1814,21076551.4846,1222241.8928,185594349.2049,121400936.5513
601988.SH,20260424,5.81,0.0704,1.2146,0.79,7.7033,7.7033,0.6949,2.8437,2.8437,5.5685,3.7318,32221241.1814,21076551.4846,1222241.8928,187205411.2639,122454764.1255
601988.SH,20260423,5.82,0.0754,1.2996,0.82,7.7165,7.7165,0.6961,2.8486,2.8486,5.559,3.7254,32221241.1814,21076551.4846,1222241.8928,187527623.6757,122665529.6404
601988.SH,20260422,5.84,0.0767,1.3228,0.78,7.743,7.743,0.6985,2.8584,2.8584,5.5399,3.7127,32221241.1814,21076551.4846,1222241.8928,188172048.4994,123087060.6701
601988.SH,20260421,5.93,0.0974,1.6804,1.01,7.8624,7.8624,0.7092,2.9025,2.9025,5.4558,3.6563,32221241.1814,21076551.4846,1222241.8928,191071960.2057,124983950.3037
601988.SH,20260420,5.9,0.1224,2.1111,1.34,7.8226,7.8226,0.7056,2.8878,2.8878,5.4836,3.6749,32221241.1814,21076551.4846,1222241.8928,190105322.9703,124351653.7591
601988.SH,20260417,5.77,0.0727,1.2532,0.78,7.6502,7.6502,0.6901,2.8241,2.8241,5.6071,3.7577,32221241.1814,21076551.4846,1222241.8928,185916561.6167,121611702.0661
601988.SH,20260416,5.79,0.0897,1.5467,0.93,7.6767,7.6767,0.6925,2.8339,2.8339,5.5878,3.7447,32221241.1814,21076551.4846,1222241.8928,186560986.4403,122033233.0958
601988.SH,20260415,5.79,0.1096,1.89,1.05,7.6767,7.6767,0.6925,2.8339,2.8339,5.5878,3.7447,32221241.1814,21076551.4846,1222241.8928,186560986.4403,122033233.0958
601988.SH,20260414,5.73,0.0892,1.5387,0.81,7.5972,7.5972,0.6853,2.8046,2.8046,5.6463,3.7839,32221241.1814,21076551.4846,1222241.8928,184627711.9694,120768640.0068
601988.SH,20260413,5.69,0.095,1.6384,0.83,7.5442,7.5442,0.6805,2.785,2.785,5.686,3.8105,32221241.1814,21076551.4846,1222241.8928,183338862.3222,119925577.9474
