ts_code,trade_date,adj_factor
600519.SH,20260703,8.6463
600519.SH,20260702,8.6463
600519.SH,20260701,8.6463
600519.SH,20260630,8.6463
600519.SH,20260629,8.6463
600519.SH,20260626,8.6463
600519.SH,20260625,8.4464
600519.SH,20260624,8.4464
600519.SH,20260623,8.4464
600519.SH,20260622,8.4464
600519.SH,20260618,8.4464
600519.SH,20260617,8.4464
600519.SH,20260616,8.4464
600519.SH,20260615,8.4464
600519.SH,20260612,8.4464
600519.SH,20260611,8.4464
600519.SH,20260610,8.4464
600519.SH,20260609,8.4464
600519.SH,20260608,8.4464
600519.SH,20260605,8.4464
600519.SH,20260604,8.4464
600519.SH,20260603,8.4464
600519.SH,20260602,8.4464
600519.SH,20260601,8.4464
600519.SH,20260529,8.4464
600519.SH,20260528,8.4464
600519.SH,20260527,8.4464
600519.SH,20260526,8.4464
600519.SH,20260525,8.4464
600519.SH,20260522,8.4464
600519.SH,20260521,8.4464
600519.SH,20260520,8.4464
600519.SH,20260519,8.4464
600519.SH,20260518,8.4464
600519.SH,20260515,8.4464
600519.SH,20260514,8.4464
600519.SH,20260513,8.4464
600519.SH,20260512,8.4464
600519.SH,20260511,8.4464
600519.SH,20260508,8.4464
600519.SH,20260507,8.4464
600519.SH,20260506,8.4464
600519.SH,20260430,8.4464
600519.SH,20260429,8.4464
600519.SH,20260428,8.4464
600519.SH,20260427,8.4464
600519.SH,20260424,8.4464
600519.SH,20260423,8.4464
600519.SH,20260422,8.4464
600519.SH,20260421,8.4464
600519.SH,20260420,8.4464
600519.SH,20260417,8.4464
600519.SH,20260416,8.4464
600519.SH,20260415,8.4464
600519.SH,20260414,8.4464
600519.SH,20260413,8.4464
600519.SH,20260410,8.4464
600519.SH,20260409,8.4464
600519.SH,20260408,8.4464
600519.SH,20260407,8.4464
600519.SH,20260403,8.4464
600519.SH,20260402,8.4464
600519.SH,20260401,8.4464
600519.SH,20260331,8.4464
600519.SH,20260330,8.4464
600519.SH,20260327,8.4464
600519.SH,20260326,8.4464
600519.SH,20260325,8.4464
600519.SH,20260324,8.4464
600519.SH,20260323,8.4464
600519.SH,20260320,8.4464
600519.SH,20260319,8.4464
600519.SH,20260318,8.4464
600519.SH,20260317,8.4464
600519.SH,20260316,8.4464
600519.SH,20260313,8.4464
600519.SH,20260312,8.4464
600519.SH,20260311,8.4464
600519.SH,20260310,8.4464
600519.SH,20260309,8.4464
600519.SH,20260306,8.4464
600519.SH,20260305,8.4464
600519.SH,20260304,8.4464
600519.SH,20260303,8.4464
600519.SH,20260302,8.4464
600519.SH,20260227,8.4464
600519.SH,20260226,8.4464
600519.SH,20260225,8.4464
600519.SH,20260224,8.4464
600519.SH,20260213,8.4464
600519.SH,20260212,8.4464
600519.SH,20260211,8.4464
600519.SH,20260210,8.4464
600519.SH,20260209,8.4464
600519.SH,20260206,8.4464
600519.SH,20260205,8.4464
600519.SH,20260204,8.4464
600519.SH,20260203,8.4464
600519.SH,20260202,8.4464
600519.SH,20260130,8.4464
600519.SH,20260129,8.4464
600519.SH,20260128,8.4464
600519.SH,20260127,8.4464
600519.SH,20260126,8.4464
600519.SH,20260123,8.4464
600519.SH,20260122,8.4464
600519.SH,20260121,8.4464
600519.SH,20260120,8.4464
600519.SH,20260119,8.4464
600519.SH,20260116,8.4464
600519.SH,20260115,8.4464
600519.SH,20260114,8.4464
600519.SH,20260113,8.4464
600519.SH,20260112,8.4464
600519.SH,20260109,8.4464
600519.SH,20260108,8.4464
600519.SH,20260107,8.4464
600519.SH,20260106,8.4464
600519.SH,20260105,8.4464
600519.SH,20251231,8.4464
600519.SH,20251230,8.4464
600519.SH,20251229,8.4464
600519.SH,20251226,8.4464
600519.SH,20251225,8.4464
600519.SH,20251224,8.4464
600519.SH,20251223,8.4464
600519.SH,20251222,8.4464
600519.SH,20251219,8.4464
600519.SH,20251218,8.305
600519.SH,20251217,8.305
600519.SH,20251216,8.305
600519.SH,20251215,8.305
600519.SH,20251212,8.305
600519.SH,20251211,8.305
600519.SH,20251210,8.305
600519.SH,20251209,8.305
600519.SH,20251208,8.305
600519.SH,20251205,8.305
600519.SH,20251204,8.305
600519.SH,20251203,8.305
600519.SH,20251202,8.305
600519.SH,20251201,8.305
600519.SH,20251128,8.305
600519.SH,20251127,8.305
600519.SH,20251126,8.305
600519.SH,20251125,8.305
600519.SH,20251124,8.305
600519.SH,20251121,8.305
600519.SH,20251120,8.305
600519.SH,20251119,8.305
600519.SH,20251118,8.305
600519.SH,20251117,8.305
600519.SH,20251114,8.305
600519.SH,20251113,8.305
600519.SH,20251112,8.305
600519.SH,20251111,8.305
600519.SH,20251110,8.305
600519.SH,20251107,8.305
600519.SH,20251106,8.305
600519.SH,20251105,8.305
600519.SH,20251104,8.305
600519.SH,20251103,8.305
600519.SH,20251031,8.305
600519.SH,20251030,8.305
600519.SH,20251029,8.305
600519.SH,20251028,8.305
600519.SH,20251027,8.305
600519.SH,20251024,8.305
600519.SH,20251023,8.305
600519.SH,20251022,8.305
600519.SH,20251021,8.305
600519.SH,20251020,8.305
600519.SH,20251017,8.305
600519.SH,20251016,8.305
600519.SH,20251015,8.305
600519.SH,20251014,8.305
600519.SH,20251013,8.305
600519.SH,20251010,8.305
600519.SH,20251009,8.305
600519.SH,20250930,8.305
600519.SH,20250929,8.305
600519.SH,20250926,8.305
600519.SH,20250925,8.305
600519.SH,20250924,8.305
600519.SH,20250923,8.305
600519.SH,20250922,8.305
600519.SH,20250919,8.305
600519.SH,20250918,8.305
600519.SH,20250917,8.305
600519.SH,20250916,8.305
600519.SH,20250915,8.305
600519.SH,20250912,8.305
600519.SH,20250911,8.305
600519.SH,20250910,8.305
600519.SH,20250909,8.305
600519.SH,20250908,8.305
600519.SH,20250905,8.305
600519.SH,20250904,8.305
600519.SH,20250903,8.305
600519.SH,20250902,8.305
600519.SH,20250901,8.305
600519.SH,20250829,8.305
600519.SH,20250828,8.305
600519.SH,20250827,8.305
600519.SH,20250826,8.305
600519.SH,20250825,8.305
600519.SH,20250822,8.305
600519.SH,20250821,8.305
600519.SH,20250820,8.305
600519.SH,20250819,8.305
600519.SH,20250818,8.305
600519.SH,20250815,8.305
600519.SH,20250814,8.305
600519.SH,20250813,8.305
600519.SH,20250812,8.305
600519.SH,20250811,8.305
600519.SH,20250808,8.305
600519.SH,20250807,8.305
600519.SH,20250806,8.305
600519.SH,20250805,8.305
600519.SH,20250804,8.305
600519.SH,20250801,8.305
600519.SH,20250731,8.305
600519.SH,20250730,8.305
600519.SH,20250729,8.305
600519.SH,20250728,8.305
600519.SH,20250725,8.305
600519.SH,20250724,8.305
600519.SH,20250723,8.305
600519.SH,20250722,8.305
600519.SH,20250721,8.305
600519.SH,20250718,8.305
600519.SH,20250717,8.305
600519.SH,20250716,8.305
600519.SH,20250715,8.305
600519.SH,20250714,8.305
600519.SH,20250711,8.305
600519.SH,20250710,8.305
600519.SH,20250709,8.305
600519.SH,20250708,8.305
600519.SH,20250707,8.305
600519.SH,20250704,8.305
600519.SH,20250703,8.305
600519.SH,20250702,8.305
600519.SH,20250701,8.305
600519.SH,20250630,8.305
600519.SH,20250627,8.305
600519.SH,20250626,8.305
600519.SH,20250625,8.1454
600519.SH,20250624,8.1454
600519.SH,20250623,8.1454
600519.SH,20250620,8.1454
600519.SH,20250619,8.1454
600519.SH,20250618,8.1454
600519.SH,20250617,8.1454
600519.SH,20250616,8.1454
600519.SH,20250613,8.1454
600519.SH,20250612,8.1454
600519.SH,20250611,8.1454
600519.SH,20250610,8.1454
600519.SH,20250609,8.1454
600519.SH,20250606,8.1454
600519.SH,20250605,8.1454
600519.SH,20250604,8.1454
600519.SH,20250603,8.1454
600519.SH,20250530,8.1454
600519.SH,20250529,8.1454
600519.SH,20250528,8.1454
600519.SH,20250527,8.1454
600519.SH,20250526,8.1454
600519.SH,20250523,8.1454
600519.SH,20250522,8.1454
600519.SH,20250521,8.1454
600519.SH,20250520,8.1454
600519.SH,20250519,8.1454
600519.SH,20250516,8.1454
600519.SH,20250515,8.1454
600519.SH,20250514,8.1454
600519.SH,20250513,8.1454
600519.SH,20250512,8.1454
600519.SH,20250509,8.1454
600519.SH,20250508,8.1454
600519.SH,20250507,8.1454
600519.SH,20250506,8.1454
600519.SH,20250430,8.1454
600519.SH,20250429,8.1454
600519.SH,20250428,8.1454
600519.SH,20250425,8.1454
600519.SH,20250424,8.1454
600519.SH,20250423,8.1454
600519.SH,20250422,8.1454
600519.SH,20250421,8.1454
