ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600519.SH,20260703,1194.45,0.2741,0.6335,0.69,18.1385,18.0518,5.512,8.8437,8.6738,4.3312,4.3554,125008.1601,125008.1601,54094.8978,149315996.712,149315996.712
600519.SH,20260702,1203.0,0.4069,0.9404,1.03,18.2683,18.1811,5.5514,8.907,8.7359,4.3004,4.3245,125008.1601,125008.1601,54094.8978,150384816.48,150384816.48
600519.SH,20260701,1193.01,0.3398,0.7852,0.85,18.1166,18.0301,5.5053,8.8331,8.6633,4.3364,4.3607,125008.1601,125008.1601,54094.8978,149135984.9616,149135984.9616
600519.SH,20260630,1185.49,0.3168,0.7322,0.74,18.0024,17.9164,5.4706,8.7774,8.6087,4.3639,4.3883,125008.1601,125008.1601,54094.8978,148195923.5984,148195923.5984
600519.SH,20260629,1194.96,0.535,1.2363,1.29,18.1462,18.0595,5.5143,8.8475,8.6775,4.3294,4.3535,125008.1601,125008.1601,54094.8978,149379750.8736,149379750.8736
600519.SH,20260626,1168.63,0.4005,0.9255,0.94,17.7464,17.6616,5.3928,8.6526,8.4863,4.4269,4.4516,125008.1601,125008.1601,54094.8978,146088286.0208,146088286.0208
600519.SH,20260625,1212.1,0.3875,0.8956,0.92,18.4065,18.3186,5.5934,8.9744,8.8019,4.2681,4.2681,125008.1601,125008.1601,54094.8978,151522390.736,151522390.736
600519.SH,20260624,1207.68,0.3627,0.8381,0.89,18.3394,18.2518,5.573,8.9417,8.7699,4.2838,4.2838,125008.1601,125008.1601,54094.8978,150969854.6688,150969854.6688
600519.SH,20260623,1222.45,0.464,1.0723,1.22,18.5637,18.475,5.6412,9.0511,8.8771,4.232,4.232,125008.1601,125008.1601,54094.8978,152816225.192,152816225.192
600519.SH,20260622,1241.41,0.466,1.0768,1.27,18.8516,18.7616,5.7287,9.1914,9.0148,4.1674,4.1674,125008.1601,125008.1601,54094.8978,155186379.9056,155186379.9056
600519.SH,20260618,1215.0,0.4597,1.0624,1.46,18.4505,18.3624,5.6068,8.9959,8.823,4.258,4.258,125008.1601,125008.1601,54094.8978,151884914.4,151884914.4
600519.SH,20260617,1240.0,0.3584,0.8282,1.17,18.8302,18.7402,5.7222,9.181,9.0046,4.1721,4.1721,125008.1601,125008.1601,54094.8978,155010118.4,155010118.4
600519.SH,20260616,1255.67,0.2797,0.6465,0.95,19.0681,18.9771,5.7945,9.297,9.1183,4.12,4.12,125008.1601,125008.1601,54094.8978,156968996.2672,156968996.2672
600519.SH,20260615,1271.1,0.3327,0.7688,1.2,19.3024,19.2103,5.8657,9.4113,9.2304,4.07,4.07,125008.1601,125008.1601,54094.8978,158897872.176,158897872.176
600519.SH,20260612,1291.91,0.4039,0.9334,1.63,19.6185,19.5248,5.9617,9.5653,9.3815,4.0045,4.0045,125008.1601,125008.1601,54094.8978,161499291.9856,161499291.9856
600519.SH,20260611,1279.0,0.2028,0.4687,0.78,19.4224,19.3297,5.9682,9.4697,9.2878,4.0449,4.0449,125008.1601,125008.1601,54094.8978,159885436.7679,159885436.7679
600519.SH,20260610,1275.88,0.3139,0.7255,1.12,19.375,19.2825,5.9537,9.4466,9.2651,4.0548,4.0548,125008.1601,125008.1601,54094.8978,159495411.3084,159495411.3084
600519.SH,20260609,1256.0,0.2229,0.515,0.76,19.0731,18.9821,5.8609,9.2995,9.1207,4.119,4.119,125008.1601,125008.1601,54094.8978,157010249.0856,157010249.0856
600519.SH,20260608,1262.98,0.2466,0.5699,0.78,19.1791,19.0875,5.8935,9.3511,9.1714,4.0962,4.0962,125008.1601,125008.1601,54094.8978,157882806.0431,157882806.0431
